kmeans,2,10,0.00010159999999999058
kmeans,2,100,0.0005079999999999529
kmeans,5,10,0.00023539999999999672
kmeans,5,100,0.0023811999999999943
kmeans,10,10,0.0005630000000000024
kmeans,10,100,0.0082031999999999
gmm,2,10,0.0012768000000000558
gmm,2,100,0.004063199999999956
gmm,5,10,0.010499800000000014
gmm,5,100,0.36162880000000003
gmm,10,10,0.08922800000000002
gmm,10,100,38.9249788
dbscan,2,10,0.00011660000000002224
dbscan,2,100,0.0007043999999999606
dbscan,5,10,0.0003805999999999754
dbscan,5,100,0.00758959999999993
dbscan,10,10,0.00037720000000005525
dbscan,10,100,0.025790799999998625

